mpid,formula,m_p,m_n,S_p,PF_p,S_n,PF_n,oof_probability,true_positive,mp_canonical_id,mp_formula,band_gap_eV,direct_gap,e_above_hull
mp-20740,Tl4Te3Pb,0.267,0.121,263.0,0.418,-187.0,1.14,0.9607838988304138,1,mp-aaaabers,Tl4Te3Pb,0.1036999999999999,True,0.10184484778409741
mp-30847,TiSnPt,1.3,0.74,679.0,0.6869999999999999,-562.0,1.21,0.9395532011985779,0,mp-aaaabtql,TiSnPt,0.7910000000000004,False,0.0
mp-30456,SrLiBi,0.52,0.693,394.0,2.08,-493.0,1.52,0.9263293743133545,1,mp-aaaabtbk,SrLiBi,0.5558000000000001,False,0.0
mp-17123,Si2Os,0.493,0.446,460.0,0.883,-385.0,0.956,0.9140217304229736,1,mp-aaaaazip,Si2Os,0.6496999999999993,False,0.0
mp-676274,Tl9SbSe6,0.725,0.34,587.0,1.18,-502.0,2.77,0.9136631488800049,1,mp-aaabmmko,Tl9SbSe6,0.7409999999999997,False,0.0
mp-4964,YSbPt,0.22899999999999998,0.0752,265.0,0.287,-153.0,0.875,0.9089542627334595,1,mp-aaaaahiy,YSbPt,0.1097999999999999,True,0.0
mp-2488,SiOs,1.02,2.08,642.0,1.68,-779.0,0.821,0.9019850492477417,0,mp-aaaaadrs,SiOs,0.5125999999999991,False,0.0
mp-2172,AlAs,0.5,0.342,593.0,1.22,-466.0,1.79,0.8973559141159058,1,mp-aaaaadfo,AlAs,1.5007000000000001,False,0.0
mp-34361,Tl9BiTe6,0.513,0.257,528.0,1.18,-464.0,2.76,0.8911249041557312,1,mp-aaaabyvp,Tl9BiTe6,0.6109,False,0.0
mp-17862,Ag3Ge5P6,0.7340000000000001,0.153,662.0,0.589,-392.0,2.83,0.8812348246574402,1,mp-aaaabala,Ag3Ge5P6,0.5335999999999999,False,0.0
mp-531170,Tl4SnSe3,0.757,1.36,443.0,0.883,-470.0,1.12,0.8776258230209351,1,mp-aaabeftq,Tl4SnSe3,0.6489999999999996,False,0.0
mp-1714,FeSi2,0.374,3.99,389.0,4.21,-744.0,0.473,0.8739624619483948,1,mp-aaaaacny,FeSi2,0.696299999999999,False,0.0
mp-676250,Bi2Te4Pb,0.564,0.22699999999999998,364.0,0.513,-256.0,1.33,0.8707159161567688,1,mp-aaabmmjq,Bi2Te4Pb,0.4945000000000004,True,0.0011262742857169883
mp-624,B6As,1.06,0.298,668.0,0.618,-435.0,1.83,0.8689066171646118,0,mp-aaaaaaya,B6As,2.6463,True,0.0
mp-569501,LiCaBi,0.434,0.767,351.0,2.92,-546.0,1.3,0.8650810718536377,1,mp-aaabgklx,LiCaBi,0.5790000000000002,False,0.0
mp-29849,Ag3SnP7,0.91,0.5920000000000001,510.0,0.823,-450.0,1.48,0.8614301681518555,1,mp-aaaabseb,Ag3SnP7,0.49689999999999923,False,0.0
mp-34292,Tl9SbTe6,0.493,0.285,555.0,1.22,-461.0,2.72,0.8562993407249451,1,mp-aaaabysy,Tl9SbTe6,0.6131000000000002,False,0.0
mp-29397,SiTePt,0.512,0.53,500.0,1.2,-407.0,0.98,0.8560207486152649,1,mp-aaaabrmr,SiTePt,0.3199999999999994,False,0.0
mp-9562,LiBeAs,0.434,1.22,549.0,1.57,-414.0,1.42,0.852756917476654,1,mp-aaaaaodu,LiBeAs,1.0063000000000004,False,0.0
mp-2455,As2Os,1.03,0.42100000000000004,617.0,0.9109999999999999,-532.0,1.97,0.8479151129722595,0,mp-aaaaadql,As2Os,0.6584000000000003,False,0.0
mp-19717,TePb,0.16,0.157,435.0,2.52,-379.0,2.57,0.8456557989120483,1,mp-aaaabdej,TePb,0.8063000000000002,True,0.0
mp-19886,ThSnPt,0.614,0.359,685.0,1.37,-546.0,2.34,0.8258928060531616,1,mp-aaaabdkw,ThSnPt,0.6740000000000004,True,0.0
mp-10623,ThSbRh,0.40399999999999997,0.381,531.0,2.02,-538.0,2.14,0.8255129456520081,1,mp-aaaaapsp,ThSbRh,0.7438000000000002,False,0.0
mp-10383,LaTeAs,0.166,0.121,72.7,0.41700000000000004,-152.0,0.615,0.8226505517959595,1,mp-aaaaapjj,LaTeAs,0.1266999999999996,False,0.08288441472222452
mp-675989,Tl9BiSe6,0.7140000000000001,0.321,536.0,1.07,-494.0,2.59,0.8219425678253174,1,mp-aaabmlzp,Tl9BiSe6,0.7462999999999997,False,0.0
mp-571195,ZnTe,0.653,0.0958,567.0,0.149,-186.0,1.01,0.8188506364822388,1,mp-aaabgmzb,ZnTe,1.0679000000000003,True,0.003689128333332903
mp-2176,ZnTe,0.546,0.0946,570.0,0.182,-188.0,1.05,0.8188506364822388,1,mp-aaaaadfs,ZnTe,1.0782000000000003,True,0.0
mp-137,Ge,0.418,0.16,541.0,1.19,-382.0,2.64,0.8167340755462646,1,mp-aaaaaafh,Ge,0.34330000000000016,True,0.14938990666666818
mp-29644,GeBi4Te7,0.7809999999999999,0.645,451.0,0.614,-327.0,0.945,0.8130977153778076,1,mp-aaaabrwe,GeBi4Te7,0.5754999999999999,True,0.008053822499995533
mp-7188,Al2Os,0.298,0.7240000000000001,437.0,3.58,-560.0,1.25,0.8127251863479614,1,mp-aaaaakqm,Al2Os,0.2898999999999994,False,0.0
mp-160,B,0.93,0.985,390.0,4.09,-655.0,1.47,0.8060926795005798,1,mp-aaaaaage,B,1.4332000000000003,False,0.0
mp-1317,CoSb3,0.11900000000000001,0.298,207.0,3.61,-391.0,1.45,0.8043786287307739,1,mp-aaaaabyr,CoSb3,0.16330000000000044,True,0.0
mp-568761,AgTe,1.25,0.319,452.0,0.276,-298.0,1.44,0.8037154674530029,0,mp-aaabgjjl,AgTe,0.24110000000000031,False,0.0006414699999979234
mp-28597,Na5InTe4,1.11,0.273,449.0,0.564,-338.0,1.2,0.8025076985359192,0,mp-aaaabqhx,Na5InTe4,1.2161,True,0.0
mp-16610,Ge3Os2,0.484,1.75,379.0,1.92,-475.0,1.11,0.7900807857513428,1,mp-aaaaayow,Ge3Os2,0.7418000000000005,True,0.0
mp-505297,NbSbRu,0.745,0.317,631.0,0.703,-431.0,1.65,0.7879073619842529,1,mp-aaabctmn,NbSbRu,0.37729999999999997,False,0.0
mp-570744,Si3As4,0.332,0.348,591.0,1.44,-412.0,1.38,0.7783021330833435,1,mp-aaabgmhs,Si3As4,0.40470000000000006,False,0.0684255624404777
mp-677072,Ca(InTe2)2,0.765,0.24600000000000002,586.0,0.3670000000000001,-310.0,1.11,0.7722293138504028,1,mp-aaabmnpg,Ca(InTe2)2,0.6857000000000006,False,0.06390925069841558
mp-17927,Ba(DyTe2)2,0.858,0.603,459.0,0.971,-416.0,1.16,0.7687792181968689,1,mp-aaaabann,Ba(DyTe2)2,0.7862,False,0.0
mp-29187,Co(SiP)3,1.78,1.2,659.0,0.594,-603.0,1.14,0.7686564922332764,0,mp-aaaabrep,Co(SiP)3,1.213,False,0.0
mp-9567,Ba(MgSb)2,0.506,0.687,501.0,1.54,-517.0,2.2,0.7643386125564575,1,mp-aaaaaodz,Ba(MgSb)2,0.8466,False,0.0
mp-757,Li3As,1.19,0.314,563.0,0.474,-401.0,1.48,0.7620770931243896,0,mp-aaaaabdd,Li3As,0.6364999999999998,False,0.0
mp-10996,Yb(MgSb)2,0.568,0.415,379.0,2.11,-478.0,2.27,0.7617853283882141,1,mp-aaaaaqgy,Yb(MgSb)2,0.6840000000000002,False,0.09359904149999565
mp-938,GeTe,0.213,0.306,492.0,2.67,-447.0,2.36,0.7595865726470947,1,mp-aaaaabkc,GeTe,0.5648999999999997,False,0.0
mp-675458,La2Te4Pb,1.38,0.649,660.0,0.531,-504.0,1.58,0.7551599740982056,0,mp-aaabmlfe,La2Te4Pb,1.2492,True,0.21130374553571318
mp-7262,ZnAs2,1.75,0.185,435.0,0.682,-273.0,1.34,0.7544121146202087,0,mp-aaaaakti,ZnAs2,0.22409999999999997,True,0.0
mp-570363,LiSi,2.25,0.705,593.0,0.606,-557.0,1.7,0.7494186162948608,0,mp-aaabgltb,LiSi,1.3839000000000001,False,0.21788123860119057
mp-9565,Ca(MgSb)2,0.5670000000000001,0.503,383.0,2.07,-496.0,2.23,0.748580276966095,1,mp-aaaaaodx,Ca(MgSb)2,0.7931000000000008,False,0.0
mp-753304,Hg,0.10800000000000001,0.08800000000000001,224.0,1.08,-204.0,1.33,0.7477039098739624,1,mp-aaabqwjg,Hg,0.22619999999999996,False,0.022511372499998572
mp-11265,BaCaSn,1.13,0.48100000000000004,425.0,0.409,-338.0,1.37,0.7438384890556335,0,mp-aaaaaqrh,BaCaSn,0.24370000000000003,False,0.0
mp-28400,P3Ru,3.28,1.12,596.0,0.494,-541.0,1.08,0.74144446849823,0,mp-aaaabqai,P3Ru,1.1414,False,0.0
mp-16220,Si,0.441,0.5379999999999999,499.0,2.2,-587.0,1.8,0.7404534220695496,1,mp-aaaaaxzw,Si,0.5334000000000003,False,0.39319308941176345
mp-149,Si,0.318,0.294,526.0,2.34,-514.0,2.53,0.7404534220695496,1,mp-aaaaaaft,Si,0.6102999999999996,False,0.0
mp-3595,ZnSiAs2,0.428,0.068,429.0,0.16,-146.0,0.884,0.7355731129646301,1,mp-aaaaafih,ZnSiAs2,0.8902000000000001,True,0.0
mp-2139,BaGe2,0.594,1.72,441.0,1.65,-529.0,0.887,0.7351114153862,1,mp-aaaaadeh,BaGe2,0.5295999999999998,False,0.0
mp-4763,ZnSiP2,0.4320000000000001,0.409,470.0,1.59,-478.0,1.69,0.7343292236328125,1,mp-aaaaahbf,ZnSiP2,1.3641000000000005,True,0.0
mp-16608,Si3Os2,0.596,1.51,478.0,1.24,-449.0,1.36,0.7315664291381836,1,mp-aaaaayou,Si3Os2,0.8552999999999997,True,0.0
mp-16609,Si3Os2,0.531,0.537,379.0,2.31,-523.0,1.7,0.7315664291381836,1,mp-aaaaayov,Si3Os2,0.7189999999999994,False,0.03666180825000254
mp-14983,Si4P4Ru,1.52,1.01,592.0,0.532,-496.0,1.63,0.7260676622390747,0,mp-aaaaaweh,Si4P4Ru,1.4577999999999989,False,0.0
mp-32581,Pr2Te3,1.01,0.48200000000000004,528.0,0.605,-406.0,0.99,0.7242158055305481,0,mp-aaaabwfd,Pr2Te3,0.8827999999999996,False,0.0
mp-18291,BaSbTe3,0.883,1.23,565.0,0.5710000000000001,-388.0,2.13,0.7227117419242859,1,mp-aaaabbbn,BaSbTe3,0.37429999999999986,False,0.0
mp-27948,Ge(BiTe2)2,0.6509999999999999,0.6990000000000001,587.0,1.04,-490.0,1.19,0.7145764231681824,1,mp-aaaabpiy,Ge(BiTe2)2,0.49620000000000086,True,0.013158101428565772
mp-8882,GaP,0.7340000000000001,0.423,501.0,0.522,-367.0,1.71,0.7141982316970825,1,mp-aaaaandq,GaP,1.2984,True,0.008458759999999899
mp-2576,Sr2Ge,1.2,0.387,559.0,0.5710000000000001,-370.0,1.48,0.7136214971542358,0,mp-aaaaadvc,Sr2Ge,0.36339999999999995,True,0.0
mp-978,Sr2Sn,0.534,0.311,156.0,0.302,-219.0,1.2,0.7106682062149048,1,mp-aaaaablq,Sr2Sn,0.15239999999999965,False,0.0
mp-2530,Li2Te,0.7509999999999999,0.38,618.0,0.8420000000000001,-474.0,1.66,0.7087032794952393,1,mp-aaaaadti,Li2Te,2.4914,False,0.0
mp-36209,TmCuSe2,0.654,1.77,503.0,1.81,-624.0,1.66,0.7082678079605103,1,mp-aaaacbor,TmCuSe2,1.1554999999999995,False,0.013674098124994316
mp-569571,Nb3Sb2Te5,1.96,0.408,702.0,0.265,-428.0,1.27,0.7046637535095215,0,mp-aaabgkop,Nb3Sb2Te5,0.8445999999999998,False,0.0176032198999998
mp-569170,CaTe,0.574,0.503,452.0,1.33,-510.0,1.66,0.7017956376075745,1,mp-aaabgjze,CaTe,1.6323000000000003,False,0.03440528500000184
mp-3785,TlGaTe2,1.6,0.29600000000000004,492.0,1.05,-479.0,2.21,0.7017526030540466,0,mp-aaaaafpp,TlGaTe2,0.5555999999999996,False,0.0
mp-2695,Sb2Os,0.581,0.978,497.0,1.5,-535.0,1.07,0.7016462087631226,1,mp-aaaaadzr,Sb2Os,0.34299999999999997,False,0.0
mp-866481,Co2(SnTe)3,0.20600000000000002,0.93,283.0,4.14,-550.0,1.0,0.7007535099983215,1,mp-aaabxhuf,Co2(SnTe)3,0.41710000000000047,True,0.0
mp-15988,Li2CuSb,0.184,0.496,496.0,3.94,-506.0,1.46,0.7004258036613464,1,mp-aaaaaxqy,Li2CuSb,0.45920000000000005,False,0.022338662499999273
mp-31220,AlSiTe3,3.7,0.7390000000000001,666.0,1.51,-539.0,1.28,0.6968717575073242,0,mp-aaaabueu,AlSiTe3,1.2309,False,0.0
mp-35907,La5TlTe8,2.9,1.03,564.0,0.568,-471.0,0.631,0.6877267956733704,0,mp-aaaacbdb,La5TlTe8,1.0812999999999997,False,0.0
mp-861884,AcGaTe2,0.405,0.16399999999999998,543.0,1.18,-412.0,2.91,0.6871251463890076,1,mp-aaabxazk,AcGaTe2,0.4914000000000005,False,0.23712917770833286
mp-14506,Al7Te10,12.3,1.47,676.0,0.231,-596.0,1.01,0.6866833567619324,0,mp-aaaaavly,Al7Te10,1.3602000000000003,False,0.0014135020098038353
mp-570875,Ga2Os,0.26899999999999996,1.55,307.0,6.66,-682.0,0.86,0.6866462826728821,1,mp-aaabgmmt,Ga2Os,0.6654999999999998,False,0.0739168072222256
mp-8234,BaTe3,1.17,0.366,694.0,0.41,-411.0,1.3,0.6860597729682922,0,mp-aaaaames,BaTe3,0.8198000000000008,False,0.0
mp-569813,In5AgTe8,2.04,0.10300000000000001,594.0,0.115,-190.0,1.01,0.6853312849998474,0,mp-aaabgkxx,In5AgTe8,0.2868999999999997,False,0.004139909285701293
mp-37091,Sr(AlTe2)2,0.67,0.321,575.0,0.544,-346.0,1.05,0.6818006634712219,1,mp-aaaaccwp,Sr(AlTe2)2,1.4447999999999999,False,0.0
mp-21374,Cd(InTe2)2,0.7509999999999999,0.12,570.0,0.165,-208.0,1.04,0.6816978454589844,1,mp-aaaabfqc,Cd(InTe2)2,0.8506,True,0.0
